"full_name","a","e","i","om","w","H","pha","G","pdes","ma","moid","diameter","epoch_mjd"
"136618 (1994 CN2)",1.573,0.3948,1.44,99.34,248.28,16.87,Y,,136618,340.11,0.0127,,60600
"136795 Tatsunokingo (1997 BQ)",1.747,0.4780,10.99,50.13,147.57,18.11,Y,,136795,340.73,0.0342,,60600
"136849 (1998 CS1)",1.492,0.5785,7.79,110.68,97.80,17.72,Y,,136849,204.65,0.0199,,60600
"137108 (1999 AN10)",1.459,0.5621,39.93,314.34,268.33,18.05,Y,,137108,177.03,0.000509,,60600
"137120 (1999 BJ8)",1.901,0.5490,8.97,339.46,222.00,18.30,Y,,137120,272.88,0.0218,,60600
"137126 (1999 CF9)",1.772,0.6012,5.55,156.87,90.54,18.14,Y,,137126,280.89,0.0181,,60600
"137427 (1999 TF211)",2.44,0.6116,39.49,347.91,162.38,15.29,Y,,137427,132.56,0.0257,,60600
"138175 (2000 EE104)",1.004,0.2932,5.24,25.50,280.87,20.47,Y,,138175,52.66,0.00828,,60600
"138404 (2000 HA24)",1.139,0.3186,2.16,309.35,142.20,19.40,Y,,138404,139.80,0.0272,,60600
"138727 (2000 SU180)",2.105,0.6052,11.92,327.89,136.32,19.34,Y,,138727,289.27,0.0335,,60600
"138971 (2001 CB21)",1.034,0.3334,7.92,353.67,271.93,18.52,Y,,138971,115.89,0.0232,,60600
"139359 (2001 ME1)",2.634,0.8700,5.96,84.57,302.40,16.53,Y,,139359,138.82,0.0134,,60600
"139622 (2001 QQ142)",1.421,0.3101,9.34,83.16,337.95,18.46,Y,,139622,190.84,0.0117,,60600
"140039 (2001 SO73)",1.821,0.5679,4.85,197.14,31.03,18.08,Y,,140039,222.91,0.0451,,60600
"140158 (2001 SX169)",1.347,0.4608,2.52,126.78,42.73,18.48,Y,,140158,94.39,0.026,0.566,60600
"140288 (2001 SN289)",1.784,0.5082,53.19,357.06,225.64,16.74,Y,,140288,344.42,0.016,1.263,60600
"141053 (2001 XT1)",1.528,0.5795,2.73,316.21,31.39,18.86,Y,,141053,67.95,0.0412,,60600
"141495 (2002 EZ11)",1.114,0.8021,2.35,51.88,317.78,18.47,Y,,141495,194.78,0.000866,,60600
"141525 (2002 FV5)",1.087,0.7245,34.04,38.84,308.11,18.07,Y,,141525,251.11,0.0343,,60600
"141527 (2002 FG7)",1.513,0.6268,9.20,187.48,247.69,18.94,Y,,141527,82.57,0.0416,,60600
"141593 (2002 HK12)",2.002,0.5287,2.35,306.98,2.25,18.32,Y,,141593,301.23,0.0237,,60600
"141614 (2002 JV15)",1.624,0.5361,7.19,200.62,127.39,19.52,Y,,141614,269.02,0.0395,,60600
"141851 (2002 PM6)",1.198,0.8501,19.13,304.00,224.53,17.81,Y,,141851,11.09,0.0384,,60600
"143404 (2003 BD44)",1.968,0.6075,2.66,181.18,89.36,16.95,Y,,143404,242.26,0.0178,,60600
"143487 (2003 CR20)",2.124,0.7301,4.99,177.06,88.83,18.94,Y,,143487,329.95,0.000297,,60600
"143624 (2003 HM16)",1.967,0.5773,35.54,195.84,47.18,15.96,Y,,143624,262.55,0.0499,2.137,60600
"143649 (2003 QQ47)",1.085,0.1870,62.10,0.99,104.96,17.39,Y,,143649,174.10,0.00463,,60600
"143651 (2003 QO104)",2.133,0.5262,11.62,58.17,183.60,16.09,Y,,143651,335.50,0.00149,,60600
"143992 (2004 AF)",1.971,0.5538,27.13,315.62,57.98,16.16,Y,,143992,205.38,0.0338,,60600
"144332 (2004 DV24)",1.423,0.2898,55.89,171.13,186.41,16.61,Y,,144332,206.42,0.00623,,60600
"144898 (2004 VD17)",1.508,0.5886,4.22,223.98,90.98,18.89,Y,,144898,306.24,0.00139,,60600
"152560 (1991 BN)",1.443,0.3979,3.45,268.81,80.99,19.23,Y,,152560,256.49,0.021,,60600
"152561 (1991 RB)",1.454,0.4857,19.58,359.29,68.96,19.10,Y,,152561,279.78,0.0384,,60600
"152664 (1998 FW4)",2.525,0.7143,3.42,353.60,85.47,19.68,Y,,152664,264.00,0.0151,,60600
"152671 (1998 HL3)",1.129,0.3659,2.68,163.64,188.16,20.24,Y,,152671,286.27,0.0453,0.298,60600
"152680 (1998 KJ9)",1.448,0.6396,10.93,98.54,260.12,19.50,Y,,152680,16.67,0.0057,,60600
"152685 (1998 MZ)",1.346,0.5729,0.15,122.28,39.24,19.34,Y,,152685,349.07,0.00158,,60600
"152754 (1999 GS6)",1.191,0.4974,2.02,314.42,134.97,19.31,Y,,152754,283.40,0.0189,0.414,60600
"152770 (1999 RR28)",1.879,0.6542,7.14,178.16,284.58,18.41,Y,,152770,231.90,0.0161,,60600
"152828 (1999 VT25)",1.162,0.5231,5.15,221.94,319.24,21.28,Y,,152828,253.70,0.0483,,60600
"152978 (2000 GJ147)",1.162,0.2367,25.01,57.85,240.80,19.57,Y,,152978,134.02,0.0239,0.531,60600
"153002 (2000 JG5)",1.341,0.7961,31.43,213.04,233.45,18.28,Y,,153002,307.51,0.0284,,60600
"153220 (2000 YN29)",2.542,0.6683,6.23,64.22,142.59,17.41,Y,,153220,288.37,0.0313,,60600
"153311 (2001 MG1)",2.502,0.6459,28.40,142.33,218.52,17.40,Y,,153311,304.13,0.0384,,60600
"153814 (2001 WN5)",1.712,0.4670,1.92,277.35,44.67,18.29,Y,,153814,110.47,0.0015,0.932,60600
"153958 (2002 AM31)",1.703,0.4515,4.64,144.37,197.96,18.36,Y,,153958,166.89,0.0314,,60600
"154019 (2002 CZ9)",1.325,0.3601,4.97,142.84,80.88,22.07,Y,,154019,264.53,0.026,,60600
"154269 (2002 SM)",1.872,0.4865,14.40,10.78,217.51,17.87,Y,,154269,300.04,0.0251,,60600
"154275 (2002 SR41)",1.084,0.4907,11.58,247.77,258.20,20.13,Y,,154275,119.73,0.0355,,60600
"154276 (2002 SY50)",1.704,0.6888,8.75,34.03,99.68,17.64,Y,,154276,288.08,0.00387,1.060,60600
"154302 (2002 UQ3)",1.72,0.5615,28.83,222.70,280.97,17.69,Y,,154302,230.42,0.0404,,60600
"154330 (2002 VX94)",1.477,0.4086,7.16,320.06,215.23,18.19,Y,,154330,353.41,0.032,,60600
"154590 (2003 MA3)",1.105,0.4022,1.42,152.67,228.88,21.71,Y,,154590,56.99,0.0131,0.086,60600
"155338 (2006 MZ1)",1.569,0.4826,2.08,226.58,138.70,20.40,Y,,155338,81.14,0.013,,60600
"159504 (2000 WO67)",2.433,0.6172,9.69,107.57,237.82,16.97,Y,,159504,138.95,0.0497,2.324,60600
