"full_name","a","e","i","om","w","H","pha","G","pdes","ma","moid","diameter","epoch_mjd"
"678413 (2017 SV20)",1.303,0.3054,22.73,110.86,119.66,18.76,Y,,678413,52.25,0.00928,,60600
"678715 (2017 VV14)",2.24,0.8450,15.89,77.93,234.76,18.34,Y,,678715,48.24,0.0493,,60600
"678927 (2018 BP)",1.557,0.3977,3.33,183.28,216.51,20.56,Y,,678927,197.14,0.00307,,60600
"678976 (2018 EH4)",2.06,0.6126,6.19,2.83,75.23,21.68,Y,,678976,104.41,0.0241,,60600
"679440 (2019 GT2)",1.84,0.5108,6.74,88.38,343.89,19.10,Y,,679440,158.02,0.0439,,60600
"679655 (2020 BS12)",1.49,0.7457,4.63,311.97,90.29,20.11,Y,,679655,241.41,0.0356,,60600
"679656 (2020 BP13)",1.568,0.3525,8.14,208.99,357.32,21.07,Y,,679656,93.49,0.0129,,60600
"679786 (2020 QG3)",2.089,0.5654,7.43,186.56,229.76,21.21,Y,,679786,113.31,0.0162,,60600
"679814 (2020 TH5)",1.425,0.3985,4.60,175.77,326.46,21.04,Y,,679814,54.43,0.0346,,60600
"679885 (2021 NQ5)",1.611,0.4937,1.42,115.35,299.07,21.12,Y,,679885,166.37,7.29e-05,,60600
"696513 (2016 NL56)",1.407,0.5450,4.60,340.90,87.43,20.91,Y,,696513,270.79,0.00357,,60600
"712200 (2014 SM143)",1.206,0.4226,24.21,28.81,89.64,20.38,Y,,712200,153.82,0.00531,,60600
"719194 (2018 PL23)",1.567,0.7870,14.35,178.29,293.68,19.87,Y,,719194,341.87,0.0314,,60600
