num,name,epoch,a,e,inc,w,omega,m,H,G,info,wiki,wikipic
359369,(2009 YG),60600,2.15,0.696,3.38,67.77,138.62,237.63,18.52,,,,
139622,(2001 QQ142),60600,1.421,0.3101,9.34,337.95,83.16,190.84,18.46,,,,
674590,(2015 RH2),60600,1.218,0.2666,5.36,115.37,332.38,210.05,22.0,,,,
612509,(2002 UK11),60600,1.324,0.5753,5.37,84.54,69.18,107.3,21.89,,,,
301844,(1990 UA),60600,1.642,0.526,0.93,202.58,104.28,87.51,19.71,,,,
162120,(1998 SH36),60600,1.088,0.5709,2.13,278.85,217.82,279.53,20.65,,,,
162422,(2000 EV70),60600,1.207,0.5311,1.4,314.5,108.93,240.88,20.6,,,,
374851,(2006 VV2),60600,2.387,0.6054,23.73,145.04,9.82,280.26,16.72,,,,
483560,(2004 BV1),60600,1.463,0.3673,12.16,223.28,96.74,16.85,19.26,,,,
162039,(1996 JG),60600,1.802,0.6604,5.28,280.26,52.83,246.3,19.06,,,,
197588,(2004 HE12),60600,1.845,0.4659,42.71,162.22,338.03,69.47,17.13,,,,
414287,(2008 OB9),60600,3.203,0.7597,13.5,238.56,202.7,262.76,17.73,,,,
441641,(2008 WZ13),60600,1.995,0.5625,8.2,133.93,51.73,165.73,18.62,,,,
514150,(2015 KJ57),60600,1.559,0.4039,2.63,336.45,14.4,239.72,21.53,,,,
450894,(2008 BT18),60600,2.22,0.5946,8.15,139.4,107.53,338.58,18.17,,,,
23187, 23187 (2000 PN9),60600,1.847,0.5893,51.33,293.53,164.29,167.5,16.06,,,,
422787,(2001 WS1),60600,2.591,0.6184,13.24,5.23,1.29,175.0,17.03,,,,
163067,(2002 AP3),60600,2.046,0.5862,7.61,117.82,87.3,254.83,19.99,,,,
529951,(2010 UD),60600,1.098,0.264,26.29,262.26,23.74,130.2,21.08,,,,
65909, 65909 (1998 FH12),60600,1.091,0.5397,3.56,284.51,108.59,196.93,19.3,,,,
527715,(2007 YQ56),60600,1.141,0.2881,26.45,273.09,276.0,213.19,19.97,,,,
382825,(2003 XB22),60600,1.405,0.3935,29.96,118.29,108.76,94.91,19.3,,,,
410627,(2008 RG1),60600,1.316,0.4431,13.09,257.45,347.79,298.99,20.89,,,,
136618,(1994 CN2),60600,1.573,0.3948,1.44,248.28,99.34,340.11,16.87,,,,
504680,(2009 EO2),60600,1.712,0.4807,11.48,220.6,264.63,2.81,19.78,,,,
333578,(2006 KM103),60600,1.573,0.3766,11.68,197.03,169.45,35.66,20.2,,,,
25143, 25143 Itokawa (1998 SF36),60600,1.324,0.2803,1.62,162.82,69.08,142.57,19.26,,,,
208115,(2000 CT101),60600,1.299,0.3547,23.3,292.43,135.55,278.65,20.84,,,,
679656,(2020 BP13),60600,1.568,0.3525,8.14,357.32,208.99,93.49,21.07,,,,
414990,(2011 EM51),60600,1.321,0.3353,1.86,142.26,134.15,285.47,21.9,,,,
155338,(2006 MZ1),60600,1.569,0.4826,2.08,138.7,226.58,81.14,20.4,,,,
